# k1  k2  k3  B_rspace  err  B_sspace(w/oAP)  err  B_sspace(w/AP)  err  N-of-triangles
0.005 0.005 0.005 2.855479e+08 2.609985e+09 1.116494e+09 3.425003e+09 9.436583e+08 3.968733e+09 419430
0.005 0.005 0.015 4.977987e+09 1.253418e+09 8.547073e+09 1.569112e+09 9.930543e+09 1.578321e+09 478326
0.005 0.015 0.015 2.403623e+09 3.340368e+08 4.253399e+09 5.238390e+08 4.503370e+09 5.066346e+08 3893844
0.005 0.015 0.025 3.051413e+09 5.306735e+08 5.517332e+09 7.970444e+08 6.838248e+09 9.140414e+08 2017350
0.005 0.025 0.025 2.466571e+09 4.388238e+08 4.330835e+09 6.086879e+08 4.643521e+09 6.418175e+08 10538292
0.005 0.025 0.035 2.276331e+09 3.537484e+08 4.547270e+09 5.576633e+08 5.482479e+09 6.476506e+08 4542486
0.005 0.035 0.035 2.477512e+09 2.225692e+08 4.201228e+09 3.531493e+08 4.551712e+09 3.389168e+08 21098604
0.005 0.035 0.045 2.044455e+09 2.060171e+08 3.800083e+09 2.664152e+08 4.616270e+09 2.334743e+08 8130462
0.005 0.045 0.045 1.847272e+09 9.323007e+07 3.189014e+09 1.421037e+08 3.466623e+09 1.135060e+08 34308372
0.005 0.045 0.055 1.751833e+09 1.664356e+08 3.086050e+09 2.699373e+08 4.030861e+09 3.821708e+08 12700638
0.005 0.055 0.055 1.469706e+09 9.709490e+07 2.475377e+09 1.479301e+08 2.706718e+09 1.180511e+08 51244212
0.005 0.055 0.065 1.549097e+09 8.988542e+07 2.724498e+09 1.256100e+08 3.570383e+09 1.442623e+08 18277086
0.005 0.065 0.065 1.374087e+09 8.234277e+07 2.304110e+09 1.059233e+08 2.520320e+09 1.004858e+08 72484140
0.005 0.065 0.075 1.309383e+09 5.824877e+07 2.317695e+09 8.218314e+07 3.112183e+09 7.800888e+07 24932694
0.005 0.075 0.075 1.243821e+09 5.249434e+07 2.048955e+09 8.235483e+07 2.280417e+09 8.983193e+07 95532468
0.005 0.075 0.085 1.373862e+09 5.659393e+07 2.316125e+09 6.117270e+07 3.193535e+09 5.792531e+07 32560998
0.005 0.085 0.085 1.036064e+09 4.271450e+07 1.713237e+09 6.680852e+07 1.873913e+09 7.543225e+07 122307324
0.005 0.085 0.095 1.193020e+09 3.763048e+07 2.060848e+09 6.791975e+07 2.884896e+09 8.182955e+07 41179974
0.005 0.095 0.095 8.861956e+08 3.927443e+07 1.478215e+09 5.698951e+07 1.621725e+09 5.990162e+07 154357572
0.005 0.095 0.105 1.036851e+09 3.237643e+07 1.760652e+09 5.886087e+07 2.430849e+09 1.035705e+08 50896950
0.005 0.105 0.105 7.054718e+08 2.474668e+07 1.177225e+09 4.166462e+07 1.325028e+09 3.140569e+07 187176756
0.005 0.105 0.115 8.718350e+08 2.343557e+07 1.475670e+09 3.766048e+07 2.192039e+09 6.180729e+07 61581510
0.005 0.115 0.115 6.652669e+08 2.317843e+07 1.087293e+09 3.470049e+07 1.153040e+09 4.505584e+07 224648628
0.005 0.115 0.125 7.449545e+08 2.548536e+07 1.252277e+09 4.241012e+07 1.922717e+09 5.978955e+07 73270422
0.005 0.125 0.125 6.146938e+08 1.813996e+07 9.889362e+08 2.003149e+07 1.092507e+09 2.068250e+07 266598108
0.005 0.125 0.135 7.206560e+08 2.141061e+07 1.190640e+09 3.683006e+07 1.857286e+09 4.375026e+07 86026158
0.005 0.135 0.135 5.767008e+08 1.649228e+07 9.093377e+08 2.028233e+07 1.024803e+09 2.894991e+07 309178356
